location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
India,2020-03-01,33084,2268,375,25,0
India,2020-03-02,34178,1094,388,13,0
India,2020-03-03,36586,2408,415,27,0
India,2020-03-04,38156,1570,433,18,0
India,2020-03-05,40573,2417,461,28,0
India,2020-03-06,42778,2205,486,25,0
India,2020-03-07,44575,1797,506,20,0
India,2020-03-08,46017,1442,522,16,0
India,2020-03-09,49376,3359,561,39,0
India,2020-03-10,51633,2257,586,25,0
India,2020-03-11,53496,1863,607,21,0
India,2020-03-12,55915,2419,635,28,0
India,2020-03-13,57791,1876,656,21,0
India,2020-03-14,60673,2882,689,33,0
India,2020-03-15,63409,2736,720,31,0
India,2020-03-16,66675,3266,757,37,0
India,2020-03-17,70607,3932,802,45,0
India,2020-03-18,72221,1614,820,18,0
India,2020-03-19,75292,3071,855,35,0
India,2020-03-20,79832,4540,907,52,0
India,2020-03-21,83622,3790,950,43,0
India,2020-03-22,86750,3128,985,35,0
India,2020-03-23,90446,3696,1027,42,0
India,2020-03-24,94917,4471,1078,51,0
India,2020-03-25,98716,3799,1121,43,0
India,2020-03-26,102306,3590,1162,41,0
India,2020-03-27,106591,4285,1211,49,0
India,2020-03-28,111032,4441,1261,50,0
India,2020-03-29,115015,3983,1306,45,0
India,2020-03-30,119784,4769,1361,55,0
India,2020-03-31,124656,4872,1416,55,0
India,2020-04-01,130003,5347,1477,61,0
India,2020-04-02,134581,4578,1529,52,0
India,2020-04-03,139988,5407,1590,61,0
India,2020-04-04,145429,5441,1652,62,0
India,2020-04-05,150752,5323,1713,61,0
India,2020-04-06,155735,4983,1769,56,0
India,2020-04-07,161328,5593,1833,64,0
India,2020-04-08,167166,5838,1899,66,0
India,2020-04-09,173212,6046,1968,69,0
India,2020-04-10,180015,6803,2045,77,0
India,2020-04-11,185139,5124,2103,58,0
India,2020-04-12,191222,6083,2172,69,0
India,2020-04-13,197733,6511,2246,74,0
India,2020-04-14,204032,6299,2318,72,0
India,2020-04-15,210860,6828,2396,78,0
India,2020-04-16,219049,8189,2489,93,0
India,2020-04-17,226601,7552,2575,86,0
India,2020-04-18,233221,6620,2650,75,0
India,2020-04-19,240779,7558,2736,86,0
India,2020-04-20,247274,6495,2809,73,0
India,2020-04-21,254267,6993,2889,80,0
India,2020-04-22,261527,7260,2971,82,0
India,2020-04-23,269162,7635,3058,87,0
India,2020-04-24,277748,8586,3156,98,0
